sku,nome,categoria,price,priority,has_short_desc,has_long_desc,has_specs,has_tags,has_composition,completeness_score,gaps,supplier_url,can_auto_scrape
chapeu-cloche,CHAPEU CLOCHE,FEMININO,€35.00,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
casquete,CASQUETE,CERIMÓNIA,€1.00,LOW,NO,NO,NO,YES,NO,1/5,"short_desc, long_desc, specs, composition",,NO
chapeu-cerimonia-perolas,CHAPÉU CERIMÓNIA PERÓLAS,CERIMÓNIA,€2.00,LOW,NO,NO,NO,YES,NO,1/5,"short_desc, long_desc, specs, composition",,NO
chapeu-cerimonia-flores,CHAPÉU CERIMÓNIA FLORES,CERIMÓNIA,€3.00,LOW,NO,NO,NO,YES,NO,1/5,"short_desc, long_desc, specs, composition",,NO
Palha – 12673,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12673/,YES
Boné – 12625,BONÉS DE VERÃO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12625/,YES
Boné – 2018016,BONÉS DE VERÃO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",https://hologrammeparis.com/product/casquette-2018016/,YES
Viseira – 23119,BONÉS DE VERÃO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/visiere-23119/,YES
Boné – 2018039,BONÉS DE INVERNO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-2018039/,YES
Casquette – 22103,BONÉS DE INVERNO PARA MULHERES,CERIMÓNIA,€14.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-22103/,YES
